state,district,mandal,village
ANDHRA PRADESH,Adilabad,Wankdi,Wankdi (Khurd)
ANDHRA PRADESH,Adilabad,Wankdi,Neemgaon
ANDHRA PRADESH,Adilabad,Wankdi,Akini
ANDHRA PRADESH,Adilabad,Wankdi,Nukewada
ANDHRA PRADESH,Adilabad,Wankdi,Chavpanguda
ANDHRA PRADESH,Adilabad,Wankdi,Navegaon
ANDHRA PRADESH,Adilabad,Wankdi,Indhani
ANDHRA PRADESH,Adilabad,Wankdi,Narlapur
ANDHRA PRADESH,Adilabad,Wankdi,Wankdi (Kalan)
ANDHRA PRADESH,Adilabad,Wankdi,Boranjiguda
ANDHRA PRADESH,Adilabad,Wankdi,Khamana
ANDHRA PRADESH,Adilabad,Wankdi,Sarandi
ANDHRA PRADESH,Adilabad,Wankdi,Khirdi
ANDHRA PRADESH,Adilabad,Wankdi,Chincholi
ANDHRA PRADESH,Adilabad,Wankdi,Ghatjangaon
ANDHRA PRADESH,Adilabad,Wankdi,Tejapur
ANDHRA PRADESH,Adilabad,Wankdi,Jaithpur
ANDHRA PRADESH,Adilabad,Wankdi,Bendera
ANDHRA PRADESH,Adilabad,Wankdi,Samela
ANDHRA PRADESH,Adilabad,Wankdi,Borda
ANDHRA PRADESH,Adilabad,Wankdi,Kanneragaon
ANDHRA PRADESH,Adilabad,Wankdi,Komatiguda
ANDHRA PRADESH,Adilabad,Wankdi,Khedegaon
ANDHRA PRADESH,Adilabad,Wankdi,Velgi
ANDHRA PRADESH,Adilabad,Wankdi,Sarkepalle
ANDHRA PRADESH,Adilabad,Sirpur (T),Sirpur (T)
ANDHRA PRADESH,Adilabad,Sirpur (T),Makidi
ANDHRA PRADESH,Adilabad,Sirpur (T),Jakkapur
ANDHRA PRADESH,Adilabad,Sirpur (T),Hudkili
ANDHRA PRADESH,Adilabad,Sirpur (T),Navegaon
ANDHRA PRADESH,Adilabad,Sirpur (T),Venkatraopet
ANDHRA PRADESH,Adilabad,Sirpur (T),Laxmipur
ANDHRA PRADESH,Adilabad,Sirpur (T),Tonkini
ANDHRA PRADESH,Adilabad,Sirpur (T),Parigaon
ANDHRA PRADESH,Adilabad,Sirpur (T),Loanvelly
ANDHRA PRADESH,Adilabad,Sirpur (T),Dhorpalle
ANDHRA PRADESH,Adilabad,Sirpur (T),Rajaram
ANDHRA PRADESH,Adilabad,Sirpur (T),Bhupalapatnam
ANDHRA PRADESH,Adilabad,Sirpur (T),Sirpur
ANDHRA PRADESH,Adilabad,Sirpur (T),Rudraram
ANDHRA PRADESH,Adilabad,Sirpur (T),Cheelapalle
ANDHRA PRADESH,Adilabad,Sirpur (T),Medpalle
ANDHRA PRADESH,Adilabad,Sirpur (T),Garlapet
ANDHRA PRADESH,Adilabad,Sirpur (T),Vempalle
ANDHRA PRADESH,Adilabad,Sirpur (T),Achalli
ANDHRA PRADESH,Adilabad,Sirpur (T),Chunchupalle
ANDHRA PRADESH,Adilabad,Sirpur (T),Arepalle
ANDHRA PRADESH,Adilabad,Sirpur (T),Chintakunta
ANDHRA PRADESH,Adilabad,Sirpur (T),Heerapur
ANDHRA PRADESH,Adilabad,Sirpur (T),Bonki
ANDHRA PRADESH,Adilabad,Sirpur (T),Dabba
ANDHRA PRADESH,Adilabad,Sirpur (T),Adepalle
ANDHRA PRADESH,Adilabad,Kouthala,Kouthala
ANDHRA PRADESH,Adilabad,Kouthala,Veervalli
ANDHRA PRADESH,Adilabad,Kouthala,Sandgaon
ANDHRA PRADESH,Adilabad,Kouthala,Pardi
ANDHRA PRADESH,Adilabad,Kouthala,Tatipalle
ANDHRA PRADESH,Adilabad,Kouthala,Veerdandi
